symbol,ltp,change,change_p,open,high,low,prev_close,52w_high,52w_low,volume
RELIANCE,1424.6,-11.600000000000136,-0.8076869516780487,1426.0,1433.0,1417.5,1436.2,1611.8,1290.0,5379244
HDFCBANK,779.15,-16.899999999999977,-2.1229822247346246,784.0,788.75,778.5,796.05,1020.5,726.65,22276048
BAJFINANCE,954.35,-18.399999999999977,-1.8915445900796688,971.0,971.95,951.0,972.75,1102.5,787.9,3671575
BHARTIARTL,1834.4,7.800000000000182,0.427022884046873,1820.0,1840.8,1815.2,1826.6,2174.5,1746.9,3166704
ICICIBANK,1263.8,-15.200000000000045,-1.1884284597341708,1279.6,1279.6,1261.2,1279.0,1500.0,1187.6,5909522
AXISBANK,1265.2,-27.5,-2.1273303937495163,1280.0,1282.0,1264.6,1292.7,1418.3,1042.5,3966710
ETERNAL,255.28,-2.140000000000015,-0.8313262372776065,255.81,256.14,252.6,257.42,368.45,212.6,12187756
SBIN,1049.6,-42.40000000000009,-3.882783882783891,1090.0,1095.0,1045.8,1092.0,1234.7,755.5,10793071
INFY,1174.3,11.599999999999909,0.997677818869864,1161.0,1178.4,1158.8,1162.7,1728.0,1149.8,4937363
BAJAJ-AUTO,10684.0,79.0,0.744931636020745,10625.0,10785.0,10540.0,10605.0,10740.0,7612.0,270468
ADANIPORTS,1760.5,27.700000000000045,1.5985687903970478,1740.4,1792.0,1727.7,1732.8,1762.4,1290.5,4366883
LT,3963.4,-59.59999999999991,-1.4814814814814792,4010.0,4014.0,3960.0,4023.0,4440.0,3284.1,1204577
M&M,3332.8,-37.899999999999636,-1.1243955261518273,3357.8,3363.0,3320.5,3370.7,3839.9,2896.0,1401269
HINDUNILVR,2285.7,13.5,0.5941378399788751,2272.2,2297.3,2256.0,2272.2,2705.09,2022.5,655222
TCS,2379.7,-21.700000000000273,-0.9036395435995782,2398.0,2407.0,2375.1,2401.4,3630.5,2346.2,2783800
KOTAKBANK,377.1,-2.2999999999999545,-0.6062203479177529,379.0,380.0,374.0,379.4,453.2,345.5,12478201
INDIGO,4519.8,12.900000000000546,0.28622778406444666,4488.0,4545.8,4465.7,4506.9,6232.5,3895.2,558730
SUNPHARMA,1850.1,15.699999999999818,0.8558656781508841,1822.0,1854.7,1819.2,1834.4,1857.8,1548.0,1911530
ADANIENT,2506.6,-7.099999999999909,-0.28245216215140667,2519.0,2546.1,2501.1,2513.7,2612.78,1753.0,1092132
ULTRACEMCO,11918.0,-228.0,-1.8771612053350897,12090.0,12110.0,11877.0,12146.0,13110.0,10325.0,189921
COALINDIA,456.0,-10.649999999999977,-2.2822243651558938,461.2,463.35,454.9,466.65,491.25,368.65,11768160
MARUTI,13721.0,-49.0,-0.35584604212055193,13672.0,13752.0,13626.0,13770.0,17370.0,12016.0,202431
BEL,438.85,-0.5999999999999659,-0.13653430424393354,439.0,443.8,437.8,439.45,473.45,304.8,8380547
HCLTECH,1195.3,11.899999999999864,1.0055771505830542,1179.8,1200.6,1176.8,1183.4,1780.1,1181.1,2062310
SHRIRAMFIN,1004.65,-11.0,-1.0830502633781323,1013.0,1013.35,1001.25,1015.65,1108.0,566.5,3581854
TATASTEEL,214.6,-2.490000000000009,-1.1469897277626833,217.0,217.4,214.25,217.09,219.2,140.51,13565137
ONGC,278.95,-4.949999999999989,-1.7435716801690697,283.6,284.0,278.8,283.9,307.5,228.45,7076278
JIOFIN,248.52,-2.5,-0.9959365787586646,250.98,251.49,248.3,251.02,338.6,223.3,8618886
HINDALCO,1041.8,-13.900000000000091,-1.3166619304726808,1048.4,1058.0,1035.3,1055.7,1080.0,603.75,1834930
BAJAJFINSV,1805.4,-19.09999999999991,-1.0468621540147935,1824.5,1827.2,1802.5,1824.5,2195.0,1597.0,371093
TMPV,355.35,-3.8999999999999773,-1.0855949895615804,356.0,357.45,353.7,359.25,450.4,294.3,3383682
TECHM,1462.7,14.5,1.0012429222483081,1453.5,1469.8,1448.4,1448.2,1854.0,1304.1,854851
TITAN,4338.0,30.5,0.7080673244341266,4314.0,4342.7,4213.4,4307.5,4554.0,3260.2,903291
EICHERMOT,7312.0,-15.5,-0.21153190037529854,7299.5,7370.0,7228.0,7327.5,8230.0,5219.5,173298
