symbol,ltp,change,change_p,open,high,low,prev_close,52w_high,52w_low,volume
RELIANCE,1427.3,-8.900000000000091,-0.6196908508564329,1426.0,1433.0,1417.5,1436.2,1611.8,1290.0,2717233
HDFCBANK,782.2,-13.849999999999909,-1.7398404622825085,784.0,788.75,781.95,796.05,1020.5,726.65,11163523
BAJFINANCE,957.45,-15.299999999999955,-1.5728604471858088,971.0,971.95,956.0,972.75,1102.5,787.9,1847701
BHARTIARTL,1829.0,2.400000000000091,0.131391656629809,1820.0,1831.0,1815.2,1826.6,2174.5,1746.9,1276047
ICICIBANK,1266.0,-13.0,-1.016419077404222,1279.6,1279.6,1265.5,1279.0,1500.0,1187.6,2419067
AXISBANK,1271.4,-21.299999999999955,-1.6477140867950766,1280.0,1282.0,1270.0,1292.7,1418.3,1042.5,1470065
ETERNAL,255.01,-2.410000000000025,-0.9362131924481489,255.81,256.14,252.6,257.42,368.45,212.6,8425397
SBIN,1087.7,-4.2999999999999545,-0.3937728937728896,1090.0,1093.9,1082.9,1092.0,1234.7,755.5,2502027
INFY,1173.1,10.399999999999864,0.8944697686419423,1161.0,1175.0,1158.8,1162.7,1728.0,1149.8,2429461
BAJAJ-AUTO,10717.0,112.0,1.056105610561056,10625.0,10730.5,10540.0,10605.0,10740.0,7612.0,131150
ADANIPORTS,1775.2,42.40000000000009,2.446906740535555,1740.4,1792.0,1727.7,1732.8,1762.4,1290.5,3239032
LT,3976.9,-46.09999999999991,-1.1459110116828215,4010.0,4014.0,3972.6,4023.0,4440.0,3284.1,587809
M&M,3353.6,-17.09999999999991,-0.5073130210342038,3357.8,3363.0,3320.5,3370.7,3839.9,2896.0,784794
HINDUNILVR,2279.7,7.5,0.33007657776604177,2272.2,2281.0,2256.0,2272.2,2705.09,2022.5,279709
TCS,2381.5,-19.90000000000009,-0.8286832680936158,2398.0,2407.0,2378.2,2401.4,3630.5,2346.2,1648343
KOTAKBANK,376.2,-3.1999999999999886,-0.8434370057986265,379.0,379.0,374.0,379.4,453.2,345.5,4312323
INDIGO,4520.4,13.5,0.299540704253478,4488.0,4534.0,4465.7,4506.9,6232.5,3895.2,326966
SUNPHARMA,1850.0,15.599999999999909,0.850414304404705,1822.0,1854.0,1819.2,1834.4,1857.8,1548.0,852770
ADANIENT,2524.0,10.300000000000182,0.4097545450928982,2519.0,2546.1,2501.1,2513.7,2612.78,1753.0,756386
ULTRACEMCO,11937.0,-209.0,-1.720731104890499,12090.0,12110.0,11926.0,12146.0,13110.0,10325.0,74419
COALINDIA,460.2,-6.449999999999989,-1.382192221150753,461.2,463.35,456.3,466.65,491.25,368.65,6346447
MARUTI,13641.0,-129.0,-0.9368191721132898,13672.0,13740.0,13626.0,13770.0,17370.0,12016.0,92617
BEL,441.55,2.1000000000000227,0.4778700648537997,439.0,443.8,438.75,439.45,473.45,304.8,4747208
HCLTECH,1196.7,13.299999999999955,1.1238803447693049,1179.8,1198.8,1176.8,1183.4,1780.1,1181.1,966250
SHRIRAMFIN,1005.9,-9.75,-0.9599763698124354,1013.0,1013.35,1001.25,1015.65,1108.0,566.5,1814923
